state,# sex,# labor,# sex & labor,# other,total,# adult labor,# minors labor,# females labor,# males labor,# other labor,# adult sex,# minors sex,# females sex,# males sex,# other sex
ALABAMA,33,13,5,2,53,11,<3,9,5,11,28,7,30,2,16
ALASKA,7,1,0,0,8,<3,0,<3,0,0,5,<3,7,0,0
ARIZONA,96,12,5,3,116,11,0,5,8,11,56,43,82,12,<3
ARKANSAS,29,6,0,1,36,5,0,4,<3,0,12,18,28,<3,0
CALIFORNIA,781,108,34,56,979,89,21,79,39,0,527,252,729,31,11
COLORADO,48,22,5,2,77,18,4,10,12,0,33,14,44,4,0
CONNECTICUT,30,6,2,1,39,5,<3,4,3,0,18,12,27,0,<3
DELAWARE,3,2,0,0,5,<3,0,<3,0,0,<3,<3,3,0,0
FLORIDA,302,68,13,24,407,63,10,37,40,0,206,99,282,9,3
GEORGIA,151,26,8,6,191,25,<3,9,19,0,106,48,144,3,0
HAWAII,21,2,2,2,27,<3,0,0,<3,0,17,6,21,0,0
IDAHO,6,0,0,0,6,0,0,0,0,0,4,<3,5,<3,0
ILLINOIS,92,25,0,5,122,22,<3,12,12,<3,68,27,84,3,0
INDIANA,32,13,5,3,53,12,3,7,6,10,22,11,31,0,16
IOWA,26,3,3,4,36,3,0,<3,<3,0,20,6,23,3,0
KANSAS,31,6,2,4,43,4,0,<3,3,0,19,14,28,<3,0
KENTUCKY,45,9,3,6,63,6,<3,5,5,0,28,19,41,3,<3
LOUISIANA,57,9,5,4,75,5,4,<3,8,0,31,21,51,<3,<3
MAINE,7,2,1,0,10,<3,0,<3,0,0,3,<3,6,0,0
MARYLAND,93,17,1,7,118,15,<3,11,5,0,59,29,87,<3,0
MASSACHUSETTS,51,4,1,6,62,4,<3,3,<3,0,36,17,45,5,0
MICHIGAN,122,18,7,5,152,16,<3,9,10,0,66,48,107,6,0
MINNESOTA,27,8,0,1,36,8,0,5,4,0,18,10,25,<3,0
MISSISSIPPI,26,5,2,3,36,4,<3,<3,3,0,18,7,24,<3,0
MISSOURI,58,4,1,4,67,4,<3,4,<3,0,36,20,54,3,0
MONTANA,11,5,0,3,19,5,0,<3,3,0,10,<3,11,<3,0
NEBRASKA,14,7,1,2,24,6,<3,<3,5,0,7,6,14,0,0
NEVADA,114,11,4,4,133,10,<3,5,7,0,85,31,107,6,0
NEW HAMPSHIRE,8,3,0,1,12,3,0,<3,<3,0,7,<3,7,<3,0
NEW JERSEY,139,13,4,13,169,13,<3,8,6,0,57,75,129,3,0
NEW MEXICO,22,5,0,1,28,3,<3,3,4,0,14,8,16,4,0
NEW YORK,217,39,15,10,281,27,6,26,15,0,141,69,199,4,0
NORTH CAROLINA,78,22,3,7,110,19,<3,11,13,0,48,31,70,4,0
NORTH DAKOTA,15,4,0,0,19,3,<3,3,<3,0,6,8,15,0,0
OHIO,233,18,8,30,289,14,4,12,6,0,172,53,218,8,<3
OKLAHOMA,28,9,4,1,42,9,<3,5,6,0,18,10,27,<3,0
OREGON,44,8,1,3,56,6,<3,7,<3,0,32,11,42,0,<3
PENNSYLVANIA,80,15,6,5,106,14,<3,9,7,0,53,20,68,4,<3
RHODE ISLAND,5,1,1,1,8,<3,0,<3,0,0,5,<3,5,0,0
SOUTH CAROLINA,42,14,1,4,61,13,0,6,11,0,26,22,39,3,0
SOUTH DAKOTA,9,5,1,0,15,4,0,4,<3,0,6,3,9,0,0
TENNESSEE,53,12,1,3,69,10,<3,6,7,0,28,23,51,3,<3
TEXAS,337,63,16,17,433,50,16,32,34,0,205,123,312,11,<3
UTAH,15,3,4,0,22,<3,<3,3,0,0,10,4,14,0,0
VERMONT,3,1,0,1,5,<3,0,0,<3,0,<3,<3,3,0,0
VIRGINIA,7,1,1,1,10,<3,0,<3,0,0,3,3,7,0,0
WASHINGTON,86,13,7,5,111,11,<3,8,4,<3,48,26,81,5,0
WEST VIRGINIA,7,1,1,1,10,<3,0,<3,0,0,3,3,7,0,0
WISCONSIN,45,3,2,0,50,3,0,<3,0,0,35,11,43,0,0
WYOMING,1,4,0,1,6,4,0,3,0,0,<3,0,<3,0,0